날짜,발전기명,설비용량(MW),발전량(MWh),평균기온,평균습도,총강수량,총적설량,평균풍속,일조시간,일사량,평균운량,날씨코드,위도,경도
2022-01-01,경상대태양광,0.905,3.37896,-1.2281668,34.41733,0.0,0.0,4.244593,32015.662,11.27,38.583332,3,35.1791,128.1076
2022-01-02,경상대태양광,0.905,3.14208,0.43433365,59.777515,0.0,0.0,6.5250916,32053.176,10.5,29.791666,3,35.1791,128.1076
2022-01-03,경상대태양광,0.905,3.21192,0.8551669,52.68516,0.0,0.0,5.844464,32094.014,11.46,16.416666,3,35.1791,128.1076
2022-01-04,경상대태양광,0.905,2.8944,2.2864168,37.661827,0.0,0.0,9.277966,28800.0,10.77,67.083336,3,35.1791,128.1076
2022-01-05,경상대태양광,0.905,0.90288,2.7364166,62.871746,1.3000001,0.49,7.4858756,0.0,4.49,91.875,73,35.1791,128.1076
2022-01-06,경상대태양광,0.905,3.41352,1.0780829,44.603973,0.0,0.0,10.227302,32126.518,11.68,0.20833333,0,35.1791,128.1076
2022-01-07,경상대태양광,0.905,3.30408,0.063499965,49.943417,0.0,0.0,5.697323,32128.59,11.73,0.125,0,35.1791,128.1076
2022-01-08,경상대태양광,0.905,3.30624,1.8364166,53.640453,0.0,0.0,4.5702653,32132.58,11.75,45.708332,3,35.1791,128.1076
2022-01-09,경상대태양광,0.905,2.40408,2.3010004,68.93592,0.0,0.0,4.602981,27890.871,10.24,52.0,3,35.1791,128.1076
2022-01-10,경상대태양광,0.905,2.79144,4.0155826,62.87766,0.0,0.0,6.5630856,32146.281,11.26,70.625,3,35.1791,128.1076
2022-01-11,경상대태양광,0.905,3.50928,-3.3219168,42.319973,0.0,0.0,11.47675,32157.307,12.19,0.25,0,35.1791,128.1076
2022-01-12,경상대태양광,0.905,3.54312,-1.3219167,35.97706,0.0,0.0,7.290415,32167.562,12.28,57.208332,3,35.1791,128.1076
2022-01-13,경상대태양광,0.905,3.41784,-2.9302502,41.391617,0.0,0.0,11.233208,26079.117,10.47,11.583333,3,35.1791,128.1076
2022-01-14,경상대태양광,0.905,3.56256,-0.7948334,37.33014,0.0,0.0,5.4890156,32237.814,12.43,69.291664,3,35.1791,128.1076
2022-01-15,경상대태양광,0.905,2.6892,1.3614169,52.76167,0.0,0.0,5.3723235,30163.652,11.36,36.666668,3,35.1791,128.1076
2022-01-16,경상대태양광,0.905,3.15792,0.79058343,48.10023,0.0,0.0,9.781892,28900.617,10.44,59.208332,3,35.1791,128.1076
2022-01-17,경상대태양광,0.905,3.168,-0.22191666,45.64271,0.0,0.0,10.184706,30549.38,11.07,47.541668,3,35.1791,128.1076
2022-01-18,경상대태양광,0.905,3.6504,-1.8323334,29.50608,0.0,0.0,7.4946427,32523.459,12.86,0.375,0,35.1791,128.1076
2022-01-19,경상대태양광,0.905,3.28176,0.06766667,45.832153,0.0,0.0,9.75266,29818.416,12.37,30.875,3,35.1791,128.1076
2022-01-20,경상대태양광,0.905,3.5712,-1.5948334,42.14166,0.0,0.0,8.302398,32667.877,12.65,0.041666668,0,35.1791,128.1076
2022-01-21,경상대태양광,0.905,3.31344,0.87808347,53.13777,0.0,0.0,5.3029504,32355.986,12.74,78.208336,3,35.1791,128.1076
2022-01-22,경상대태양광,0.905,2.09376,3.2218332,70.183754,0.0,0.0,4.927242,21969.809,6.14,92.583336,3,35.1791,128.1076
2022-01-23,경상대태양광,0.905,1.7028,6.636416,66.57165,0.0,0.0,9.573603,12926.127,7.46,82.625,3,35.1791,128.1076
2022-01-24,경상대태양광,0.905,1.37736,4.9697504,55.172253,0.0,0.0,9.56058,31495.574,9.05,83.375,3,35.1791,128.1076
2022-01-25,경상대태양광,0.905,1.17648,4.248916,69.464424,0.1,0.07,5.0907645,264.45184,3.57,74.25,71,35.1791,128.1076
2022-01-26,경상대태양광,0.905,3.2544,4.4322495,52.771748,0.0,0.0,8.784188,32765.88,13.29,70.708336,3,35.1791,128.1076
2022-01-27,경상대태양광,0.905,3.18024,3.8989165,40.676517,0.0,0.0,10.304515,30150.383,12.76,65.083336,3,35.1791,128.1076
2022-01-28,경상대태양광,0.905,3.64248,3.1843326,32.904617,0.0,0.0,11.958606,32914.145,12.66,83.583336,3,35.1791,128.1076
2022-01-29,경상대태양광,0.905,3.13992,2.2759998,29.714577,0.0,0.0,12.115616,30384.94,12.29,98.208336,3,35.1791,128.1076
2022-01-30,경상대태양광,0.905,3.12264,0.8926666,33.288666,0.0,0.0,9.219552,26832.479,11.92,36.666668,3,35.1791,128.1076
2022-01-31,경상대태양광,0.905,3.80376,2.0155833,45.57153,0.0,0.0,7.4862847,34069.42,14.32,24.416666,3,35.1791,128.1076
2022-02-01,경상대태양광,0.905,3.54024,0.26766667,58.317112,0.0,0.0,10.617481,32992.598,10.43,53.458332,3,35.1791,128.1076
2022-02-02,경상대태양광,0.905,2.65896,0.81558317,46.189716,0.0,0.0,8.414012,28068.496,10.33,93.416664,3,35.1791,128.1076
2022-02-03,경상대태양광,0.905,3.95352,1.1468333,33.703697,0.0,0.0,10.198035,34268.266,14.43,39.375,3,35.1791,128.1076
2022-02-04,경상대태양광,0.905,3.762,-0.92608315,47.251083,0.0,0.0,9.272127,34334.336,14.33,19.791666,2,35.1791,128.1076
2022-02-05,경상대태양광,0.905,4.07664,-1.79275,45.446278,0.0,0.0,10.685219,33148.07,14.19,37.541668,3,35.1791,128.1076
2022-02-06,경상대태양광,0.905,3.62448,-1.0448333,51.814816,0.0,0.0,9.687837,28926.934,11.6,56.958332,3,35.1791,128.1076
2022-02-07,경상대태양광,0.905,1.8504,0.7926666,34.045887,0.1,0.07,6.6295238,16832.617,9.02,86.416664,71,35.1791,128.1076
2022-02-08,경상대태양광,0.905,3.7368,1.8572497,44.551792,0.0,0.0,9.437934,34687.902,13.99,63.958332,3,35.1791,128.1076
2022-02-09,경상대태양광,0.905,2.88072,4.707249,50.727993,0.1,0.0,4.349119,28801.908,12.97,98.791664,51,35.1791,128.1076
2022-02-10,경상대태양광,0.905,3.48768,4.426,38.803497,0.0,0.0,9.459043,34435.78,15.06,21.583334,3,35.1791,128.1076
