날짜,발전기명,설비용량(MW),발전량(MWh)
2022.1.1,경상대태양광,0.905,3.37896
2022.1.2,경상대태양광,0.905,3.14208
2022.1.3,경상대태양광,0.905,3.21192
2022.1.4,경상대태양광,0.905,2.8944
2022.1.5,경상대태양광,0.905,0.90288
2022.1.6,경상대태양광,0.905,3.41352
2022.1.7,경상대태양광,0.905,3.30408
2022.1.8,경상대태양광,0.905,3.30624
2022.1.9,경상대태양광,0.905,2.40408
2022.1.10,경상대태양광,0.905,2.79144
2022.1.11,경상대태양광,0.905,3.50928
2022.1.12,경상대태양광,0.905,3.54312
2022.1.13,경상대태양광,0.905,3.41784
2022.1.14,경상대태양광,0.905,3.56256
2022.1.15,경상대태양광,0.905,2.6892
2022.1.16,경상대태양광,0.905,3.15792
2022.1.17,경상대태양광,0.905,3.168
2022.1.18,경상대태양광,0.905,3.6504
2022.1.19,경상대태양광,0.905,3.28176
2022.1.20,경상대태양광,0.905,3.5712
2022.1.21,경상대태양광,0.905,3.31344
2022.1.22,경상대태양광,0.905,2.09376
2022.1.23,경상대태양광,0.905,1.7028
2022.1.24,경상대태양광,0.905,1.37736
2022.1.25,경상대태양광,0.905,1.17648
2022.1.26,경상대태양광,0.905,3.2544
2022.1.27,경상대태양광,0.905,3.18024
2022.1.28,경상대태양광,0.905,3.64248
2022.1.29,경상대태양광,0.905,3.13992
2022.1.30,경상대태양광,0.905,3.12264
2022.1.31,경상대태양광,0.905,3.80376
2022.2.1,경상대태양광,0.905,3.54024
2022.2.2,경상대태양광,0.905,2.65896
2022.2.3,경상대태양광,0.905,3.95352
2022.2.4,경상대태양광,0.905,3.762
2022.2.5,경상대태양광,0.905,4.07664
2022.2.6,경상대태양광,0.905,3.62448
2022.2.7,경상대태양광,0.905,1.8504
2022.2.8,경상대태양광,0.905,3.7368
2022.2.9,경상대태양광,0.905,2.88072
2022.2.10,경상대태양광,0.905,3.48768
2022.2.11,경상대태양광,0.905,3.86424
2022.2.12,경상대태양광,0.905,3.75408
2022.2.13,경상대태양광,0.905,2.86488
2022.2.14,경상대태양광,0.905,2.32632
2022.2.15,경상대태양광,0.905,3.99312
2022.2.16,경상대태양광,0.905,4.21776
2022.2.17,경상대태양광,0.905,4.08816
2022.2.18,경상대태양광,0.905,4.04856
2022.2.19,경상대태양광,0.905,2.21832
2022.2.20,경상대태양광,0.905,4.6224
2022.2.21,경상대태양광,0.905,4.1256
2022.2.22,경상대태양광,0.905,4.17312
2022.2.23,경상대태양광,0.905,3.78936
2022.2.24,경상대태양광,0.905,4.45392
2022.2.25,경상대태양광,0.905,4.30416
2022.2.26,경상대태양광,0.905,3.9204
2022.2.27,경상대태양광,0.905,4.4892
2022.2.28,경상대태양광,0.905,3.38256
2022.3.1,경상대태양광,0.905,2.93904
2022.3.2,경상대태양광,0.905,4.74048
2022.3.3,경상대태양광,0.905,4.55832
2022.3.4,경상대태양광,0.905,3.25152
2022.3.5,경상대태양광,0.905,4.79232
2022.3.6,경상대태양광,0.905,4.91544
2022.3.7,경상대태양광,0.905,3.79152
2022.3.8,경상대태양광,0.905,4.4856
2022.3.9,경상대태양광,0.905,4.50432
2022.3.10,경상대태양광,0.905,3.68352
2022.3.11,경상대태양광,0.905,2.11104
2022.3.12,경상대태양광,0.905,3.74328
2022.3.13,경상대태양광,0.905,0.5652
2022.3.14,경상대태양광,0.905,0.53064
2022.3.15,경상대태양광,0.905,4.64256
2022.3.16,경상대태양광,0.905,4.52232
2022.3.17,경상대태양광,0.905,0.80856
2022.3.18,경상대태양광,0.905,1.07208
2022.3.19,경상대태양광,0.905,2.15424
2022.3.20,경상대태양광,0.905,3.43008
2022.3.21,경상대태양광,0.905,3.57912
2022.3.22,경상대태양광,0.905,4.428
2022.3.23,경상대태양광,0.905,2.80152
2022.3.24,경상대태양광,0.905,4.56984
2022.3.25,경상대태양광,0.905,1.83816
2022.3.26,경상대태양광,0.905,3.48768
2022.3.27,경상대태양광,0.905,4.81176
2022.3.28,경상대태양광,0.905,3.97152
2022.3.29,경상대태양광,0.905,5.0472
2022.3.30,경상대태양광,0.905,3.07224
2022.3.31,경상대태양광,0.905,2.58336
2022.4.1,경상대태양광,0.905,4.4172
2022.4.2,경상대태양광,0.905,4.73472
2022.4.3,경상대태양광,0.905,4.97232
2022.4.4,경상대태양광,0.905,5.0292
2022.4.5,경상대태양광,0.905,4.15368
2022.4.6,경상대태양광,0.905,4.76568
2022.4.7,경상대태양광,0.905,4.42368
2022.4.8,경상대태양광,0.905,5.05368
2022.4.9,경상대태양광,0.905,4.88808
2022.4.10,경상대태양광,0.905,4.85928
2022.4.11,경상대태양광,0.905,3.40128
2022.4.12,경상대태양광,0.905,4.47696
2022.4.13,경상대태양광,0.905,0.84024
2022.4.14,경상대태양광,0.905,2.27808
2022.4.15,경상대태양광,0.905,4.1832
2022.4.16,경상대태양광,0.905,5.01408
2022.4.17,경상대태양광,0.905,5.15016
2022.4.18,경상대태양광,0.905,3.92688
2022.4.19,경상대태양광,0.905,4.81824
2022.4.20,경상대태양광,0.905,5.07312
2022.4.21,경상대태양광,0.905,1.34496
2022.4.22,경상대태양광,0.905,5.03064
2022.4.23,경상대태양광,0.905,3.2004
2022.4.24,경상대태양광,0.905,4.83984
2022.4.25,경상대태양광,0.905,3.76632
2022.4.26,경상대태양광,0.905,0.80424
2022.4.27,경상대태양광,0.905,4.65624
2022.4.28,경상대태양광,0.905,4.26024
2022.4.29,경상대태양광,0.905,1.9584
2022.4.30,경상대태양광,0.905,3.63888
2022.5.1,경상대태양광,0.905,5.26608
2022.5.2,경상대태양광,0.905,4.45968
2022.5.3,경상대태양광,0.905,5.24448
2022.5.4,경상대태양광,0.905,5.24664
2022.5.5,경상대태양광,0.905,5.28408
2022.5.6,경상대태양광,0.905,4.9068
2022.5.7,경상대태양광,0.905,4.5792
2022.5.8,경상대태양광,0.905,4.31424
2022.5.9,경상대태양광,0.905,3.49488
2022.5.10,경상대태양광,0.905,4.01544
2022.5.11,경상대태양광,0.905,3.1788
2022.5.12,경상대태양광,0.905,2.53008
2022.5.13,경상대태양광,0.905,1.31112
2022.5.14,경상대태양광,0.905,5.05296
2022.5.15,경상대태양광,0.905,5.11488
2022.5.16,경상대태양광,0.905,5.09544
2022.5.17,경상대태양광,0.905,4.54536
2022.5.18,경상대태양광,0.905,4.87152
2022.5.19,경상대태양광,0.905,3.62232
2022.5.20,경상대태양광,0.905,3.52152
2022.5.21,경상대태양광,0.905,4.11624
2022.5.22,경상대태양광,0.905,4.71312
2022.5.23,경상대태양광,0.905,4.18104
2022.5.24,경상대태양광,0.905,4.69872
2022.5.25,경상대태양광,0.905,4.69728
2022.5.26,경상대태양광,0.905,4.93632
2022.5.27,경상대태양광,0.905,4.37256
2022.5.28,경상대태양광,0.905,3.924
2022.5.29,경상대태양광,0.905,5.01984
2022.5.30,경상대태양광,0.905,3.14856
2022.5.31,경상대태양광,0.905,4.986
2022.6.1,경상대태양광,0.905,4.74696
2022.6.2,경상대태양광,0.905,4.94352
2022.6.3,경상대태양광,0.905,4.66056
2022.6.4,경상대태양광,0.905,4.08312
2022.6.5,경상대태양광,0.905,0.52128
2022.6.6,경상대태양광,0.905,3.71592
2022.6.7,경상대태양광,0.905,1.58688
2022.6.8,경상대태양광,0.905,2.916
2022.6.9,경상대태양광,0.905,4.49352
2022.6.10,경상대태양광,0.905,3.75912
2022.6.11,경상대태양광,0.905,3.36816
2022.6.12,경상대태양광,0.905,3.8628
2022.6.13,경상대태양광,0.905,2.06136
2022.6.14,경상대태양광,0.905,0.93312
2022.6.15,경상대태양광,0.905,4.14576
2022.6.16,경상대태양광,0.905,4.52088
