발전기명,DATETIME,SI
경상대태양광,2025-11-12 00:00:00,0.4
경상대태양광,2025-11-12 00:30:00,0.3
경상대태양광,2025-11-12 01:00:00,0.7
경상대태양광,2025-11-12 01:30:00,0.7
경상대태양광,2025-11-12 02:00:00,1.0
경상대태양광,2025-11-12 02:30:00,1.0
경상대태양광,2025-11-12 03:00:00,
경상대태양광,2025-11-12 03:30:00,
경상대태양광,2025-11-12 04:00:00,
경상대태양광,2025-11-12 04:30:00,
경상대태양광,2025-11-12 05:00:00,
경상대태양광,2025-11-12 05:30:00,
경상대태양광,2025-11-12 06:00:00,
경상대태양광,2025-11-12 06:30:00,
경상대태양광,2025-11-12 07:00:00,
경상대태양광,2025-11-12 07:30:00,
경상대태양광,2025-11-12 08:00:00,
경상대태양광,2025-11-12 08:30:00,
경상대태양광,2025-11-12 09:00:00,
경상대태양광,2025-11-12 09:30:00,
경상대태양광,2025-11-12 10:00:00,
경상대태양광,2025-11-12 10:30:00,
경상대태양광,2025-11-12 11:00:00,
경상대태양광,2025-11-12 11:30:00,
경상대태양광,2025-11-12 12:00:00,
경상대태양광,2025-11-12 12:30:00,
경상대태양광,2025-11-12 13:00:00,
경상대태양광,2025-11-12 13:30:00,
경상대태양광,2025-11-12 14:00:00,
경상대태양광,2025-11-12 14:30:00,
경상대태양광,2025-11-12 15:00:00,
경상대태양광,2025-11-12 15:30:00,
경상대태양광,2025-11-12 16:00:00,
경상대태양광,2025-11-12 16:30:00,
경상대태양광,2025-11-12 17:00:00,
경상대태양광,2025-11-12 17:30:00,
경상대태양광,2025-11-12 18:00:00,
경상대태양광,2025-11-12 18:30:00,
경상대태양광,2025-11-12 19:00:00,
경상대태양광,2025-11-12 19:30:00,
경상대태양광,2025-11-12 20:00:00,
경상대태양광,2025-11-12 20:30:00,
경상대태양광,2025-11-12 21:00:00,
경상대태양광,2025-11-12 21:30:00,
경상대태양광,2025-11-12 22:00:00,
경상대태양광,2025-11-12 22:30:00,
경상대태양광,2025-11-12 23:00:00,
경상대태양광,2025-11-12 23:30:00,
고흥만 수상태양광,2025-11-12 00:00:00,0.3
고흥만 수상태양광,2025-11-12 00:30:00,0.3
고흥만 수상태양광,2025-11-12 01:00:00,0.6
고흥만 수상태양광,2025-11-12 01:30:00,0.3
고흥만 수상태양광,2025-11-12 02:00:00,0.4
고흥만 수상태양광,2025-11-12 02:30:00,0.6
고흥만 수상태양광,2025-11-12 03:00:00,0.8
고흥만 수상태양광,2025-11-12 03:30:00,
고흥만 수상태양광,2025-11-12 04:00:00,
고흥만 수상태양광,2025-11-12 04:30:00,
고흥만 수상태양광,2025-11-12 05:00:00,
고흥만 수상태양광,2025-11-12 05:30:00,
고흥만 수상태양광,2025-11-12 06:00:00,
고흥만 수상태양광,2025-11-12 06:30:00,
고흥만 수상태양광,2025-11-12 07:00:00,
고흥만 수상태양광,2025-11-12 07:30:00,
고흥만 수상태양광,2025-11-12 08:00:00,
고흥만 수상태양광,2025-11-12 08:30:00,
고흥만 수상태양광,2025-11-12 09:00:00,
고흥만 수상태양광,2025-11-12 09:30:00,
고흥만 수상태양광,2025-11-12 10:00:00,
고흥만 수상태양광,2025-11-12 10:30:00,
고흥만 수상태양광,2025-11-12 11:00:00,
고흥만 수상태양광,2025-11-12 11:30:00,
고흥만 수상태양광,2025-11-12 12:00:00,
고흥만 수상태양광,2025-11-12 12:30:00,
고흥만 수상태양광,2025-11-12 13:00:00,
고흥만 수상태양광,2025-11-12 13:30:00,
고흥만 수상태양광,2025-11-12 14:00:00,
고흥만 수상태양광,2025-11-12 14:30:00,
고흥만 수상태양광,2025-11-12 15:00:00,
고흥만 수상태양광,2025-11-12 15:30:00,
고흥만 수상태양광,2025-11-12 16:00:00,
고흥만 수상태양광,2025-11-12 16:30:00,
고흥만 수상태양광,2025-11-12 17:00:00,
고흥만 수상태양광,2025-11-12 17:30:00,
고흥만 수상태양광,2025-11-12 18:00:00,
고흥만 수상태양광,2025-11-12 18:30:00,
고흥만 수상태양광,2025-11-12 19:00:00,
고흥만 수상태양광,2025-11-12 19:30:00,
고흥만 수상태양광,2025-11-12 20:00:00,
고흥만 수상태양광,2025-11-12 20:30:00,
고흥만 수상태양광,2025-11-12 21:00:00,
고흥만 수상태양광,2025-11-12 21:30:00,
고흥만 수상태양광,2025-11-12 22:00:00,
고흥만 수상태양광,2025-11-12 22:30:00,
고흥만 수상태양광,2025-11-12 23:00:00,
고흥만 수상태양광,2025-11-12 23:30:00,
광양항세방태양광,2025-11-12 00:00:00,0.3
광양항세방태양광,2025-11-12 00:30:00,0.3
광양항세방태양광,2025-11-12 01:00:00,0.7
광양항세방태양광,2025-11-12 01:30:00,0.6
광양항세방태양광,2025-11-12 02:00:00,0.7
광양항세방태양광,2025-11-12 02:30:00,0.6
광양항세방태양광,2025-11-12 03:00:00,
광양항세방태양광,2025-11-12 03:30:00,
광양항세방태양광,2025-11-12 04:00:00,
광양항세방태양광,2025-11-12 04:30:00,
광양항세방태양광,2025-11-12 05:00:00,
광양항세방태양광,2025-11-12 05:30:00,
광양항세방태양광,2025-11-12 06:00:00,
광양항세방태양광,2025-11-12 06:30:00,
광양항세방태양광,2025-11-12 07:00:00,
광양항세방태양광,2025-11-12 07:30:00,
광양항세방태양광,2025-11-12 08:00:00,
광양항세방태양광,2025-11-12 08:30:00,
광양항세방태양광,2025-11-12 09:00:00,
광양항세방태양광,2025-11-12 09:30:00,
광양항세방태양광,2025-11-12 10:00:00,
광양항세방태양광,2025-11-12 10:30:00,
광양항세방태양광,2025-11-12 11:00:00,
광양항세방태양광,2025-11-12 11:30:00,
광양항세방태양광,2025-11-12 12:00:00,
광양항세방태양광,2025-11-12 12:30:00,
광양항세방태양광,2025-11-12 13:00:00,
광양항세방태양광,2025-11-12 13:30:00,
광양항세방태양광,2025-11-12 14:00:00,
광양항세방태양광,2025-11-12 14:30:00,
광양항세방태양광,2025-11-12 15:00:00,
광양항세방태양광,2025-11-12 15:30:00,
광양항세방태양광,2025-11-12 16:00:00,
광양항세방태양광,2025-11-12 16:30:00,
광양항세방태양광,2025-11-12 17:00:00,
광양항세방태양광,2025-11-12 17:30:00,
광양항세방태양광,2025-11-12 18:00:00,
광양항세방태양광,2025-11-12 18:30:00,
광양항세방태양광,2025-11-12 19:00:00,
광양항세방태양광,2025-11-12 19:30:00,
광양항세방태양광,2025-11-12 20:00:00,
광양항세방태양광,2025-11-12 20:30:00,
광양항세방태양광,2025-11-12 21:00:00,
광양항세방태양광,2025-11-12 21:30:00,
광양항세방태양광,2025-11-12 22:00:00,
광양항세방태양광,2025-11-12 22:30:00,
광양항세방태양광,2025-11-12 23:00:00,
광양항세방태양광,2025-11-12 23:30:00,
구미태양광,2025-11-12 00:00:00,0.7
구미태양광,2025-11-12 00:30:00,0.7
구미태양광,2025-11-12 01:00:00,1.2
구미태양광,2025-11-12 01:30:00,1.1
구미태양광,2025-11-12 02:00:00,1.2
구미태양광,2025-11-12 02:30:00,1.3
구미태양광,2025-11-12 03:00:00,
구미태양광,2025-11-12 03:30:00,
구미태양광,2025-11-12 04:00:00,
구미태양광,2025-11-12 04:30:00,
구미태양광,2025-11-12 05:00:00,
구미태양광,2025-11-12 05:30:00,
구미태양광,2025-11-12 06:00:00,
구미태양광,2025-11-12 06:30:00,
구미태양광,2025-11-12 07:00:00,
구미태양광,2025-11-12 07:30:00,
구미태양광,2025-11-12 08:00:00,
구미태양광,2025-11-12 08:30:00,
구미태양광,2025-11-12 09:00:00,
구미태양광,2025-11-12 09:30:00,
구미태양광,2025-11-12 10:00:00,
구미태양광,2025-11-12 10:30:00,
구미태양광,2025-11-12 11:00:00,
구미태양광,2025-11-12 11:30:00,
구미태양광,2025-11-12 12:00:00,
구미태양광,2025-11-12 12:30:00,
구미태양광,2025-11-12 13:00:00,
구미태양광,2025-11-12 13:30:00,
구미태양광,2025-11-12 14:00:00,
구미태양광,2025-11-12 14:30:00,
구미태양광,2025-11-12 15:00:00,
구미태양광,2025-11-12 15:30:00,
구미태양광,2025-11-12 16:00:00,
구미태양광,2025-11-12 16:30:00,
구미태양광,2025-11-12 17:00:00,
구미태양광,2025-11-12 17:30:00,
구미태양광,2025-11-12 18:00:00,
구미태양광,2025-11-12 18:30:00,
구미태양광,2025-11-12 19:00:00,
구미태양광,2025-11-12 19:30:00,
구미태양광,2025-11-12 20:00:00,
구미태양광,2025-11-12 20:30:00,
구미태양광,2025-11-12 21:00:00,
구미태양광,2025-11-12 21:30:00,
구미태양광,2025-11-12 22:00:00,
구미태양광,2025-11-12 22:30:00,
구미태양광,2025-11-12 23:00:00,
구미태양광,2025-11-12 23:30:00,
당진태양광,2025-11-12 00:00:00,0.6
당진태양광,2025-11-12 00:30:00,0.6
당진태양광,2025-11-12 01:00:00,1.2
당진태양광,2025-11-12 01:30:00,1.1
당진태양광,2025-11-12 02:00:00,1.5
당진태양광,2025-11-12 02:30:00,1.4
당진태양광,2025-11-12 03:00:00,
당진태양광,2025-11-12 03:30:00,
당진태양광,2025-11-12 04:00:00,
당진태양광,2025-11-12 04:30:00,
당진태양광,2025-11-12 05:00:00,
당진태양광,2025-11-12 05:30:00,
당진태양광,2025-11-12 06:00:00,
당진태양광,2025-11-12 06:30:00,
당진태양광,2025-11-12 07:00:00,
당진태양광,2025-11-12 07:30:00,
당진태양광,2025-11-12 08:00:00,
당진태양광,2025-11-12 08:30:00,
당진태양광,2025-11-12 09:00:00,
당진태양광,2025-11-12 09:30:00,
당진태양광,2025-11-12 10:00:00,
당진태양광,2025-11-12 10:30:00,
당진태양광,2025-11-12 11:00:00,
당진태양광,2025-11-12 11:30:00,
당진태양광,2025-11-12 12:00:00,
당진태양광,2025-11-12 12:30:00,
당진태양광,2025-11-12 13:00:00,
당진태양광,2025-11-12 13:30:00,
당진태양광,2025-11-12 14:00:00,
당진태양광,2025-11-12 14:30:00,
당진태양광,2025-11-12 15:00:00,
당진태양광,2025-11-12 15:30:00,
당진태양광,2025-11-12 16:00:00,
당진태양광,2025-11-12 16:30:00,
당진태양광,2025-11-12 17:00:00,
당진태양광,2025-11-12 17:30:00,
당진태양광,2025-11-12 18:00:00,
당진태양광,2025-11-12 18:30:00,
당진태양광,2025-11-12 19:00:00,
당진태양광,2025-11-12 19:30:00,
당진태양광,2025-11-12 20:00:00,
당진태양광,2025-11-12 20:30:00,
당진태양광,2025-11-12 21:00:00,
당진태양광,2025-11-12 21:30:00,
당진태양광,2025-11-12 22:00:00,
당진태양광,2025-11-12 22:30:00,
당진태양광,2025-11-12 23:00:00,
당진태양광,2025-11-12 23:30:00,
동해바이오화력본부 태양광,2025-11-12 00:00:00,0.8
동해바이오화력본부 태양광,2025-11-12 00:30:00,0.8
동해바이오화력본부 태양광,2025-11-12 01:00:00,1.4
동해바이오화력본부 태양광,2025-11-12 01:30:00,1.4
동해바이오화력본부 태양광,2025-11-12 02:00:00,1.9
동해바이오화력본부 태양광,2025-11-12 02:30:00,1.8
동해바이오화력본부 태양광,2025-11-12 03:00:00,
동해바이오화력본부 태양광,2025-11-12 03:30:00,
동해바이오화력본부 태양광,2025-11-12 04:00:00,
동해바이오화력본부 태양광,2025-11-12 04:30:00,
동해바이오화력본부 태양광,2025-11-12 05:00:00,
동해바이오화력본부 태양광,2025-11-12 05:30:00,
동해바이오화력본부 태양광,2025-11-12 06:00:00,
동해바이오화력본부 태양광,2025-11-12 06:30:00,
동해바이오화력본부 태양광,2025-11-12 07:00:00,
동해바이오화력본부 태양광,2025-11-12 07:30:00,
동해바이오화력본부 태양광,2025-11-12 08:00:00,
동해바이오화력본부 태양광,2025-11-12 08:30:00,
동해바이오화력본부 태양광,2025-11-12 09:00:00,
동해바이오화력본부 태양광,2025-11-12 09:30:00,
동해바이오화력본부 태양광,2025-11-12 10:00:00,
동해바이오화력본부 태양광,2025-11-12 10:30:00,
동해바이오화력본부 태양광,2025-11-12 11:00:00,
동해바이오화력본부 태양광,2025-11-12 11:30:00,
동해바이오화력본부 태양광,2025-11-12 12:00:00,
동해바이오화력본부 태양광,2025-11-12 12:30:00,
동해바이오화력본부 태양광,2025-11-12 13:00:00,
동해바이오화력본부 태양광,2025-11-12 13:30:00,
동해바이오화력본부 태양광,2025-11-12 14:00:00,
동해바이오화력본부 태양광,2025-11-12 14:30:00,
동해바이오화력본부 태양광,2025-11-12 15:00:00,
동해바이오화력본부 태양광,2025-11-12 15:30:00,
동해바이오화력본부 태양광,2025-11-12 16:00:00,
동해바이오화력본부 태양광,2025-11-12 16:30:00,
동해바이오화력본부 태양광,2025-11-12 17:00:00,
동해바이오화력본부 태양광,2025-11-12 17:30:00,
동해바이오화력본부 태양광,2025-11-12 18:00:00,
동해바이오화력본부 태양광,2025-11-12 18:30:00,
동해바이오화력본부 태양광,2025-11-12 19:00:00,
동해바이오화력본부 태양광,2025-11-12 19:30:00,
동해바이오화력본부 태양광,2025-11-12 20:00:00,
동해바이오화력본부 태양광,2025-11-12 20:30:00,
동해바이오화력본부 태양광,2025-11-12 21:00:00,
동해바이오화력본부 태양광,2025-11-12 21:30:00,
동해바이오화력본부 태양광,2025-11-12 22:00:00,
동해바이오화력본부 태양광,2025-11-12 22:30:00,
동해바이오화력본부 태양광,2025-11-12 23:00:00,
동해바이오화력본부 태양광,2025-11-12 23:30:00,
보령태양광,2025-11-12 00:00:00,0.6
보령태양광,2025-11-12 00:30:00,0.6
보령태양광,2025-11-12 01:00:00,1.2
보령태양광,2025-11-12 01:30:00,1.3
보령태양광,2025-11-12 02:00:00,1.9
보령태양광,2025-11-12 02:30:00,1.9
보령태양광,2025-11-12 03:00:00,
보령태양광,2025-11-12 03:30:00,
보령태양광,2025-11-12 04:00:00,
보령태양광,2025-11-12 04:30:00,
보령태양광,2025-11-12 05:00:00,
보령태양광,2025-11-12 05:30:00,
보령태양광,2025-11-12 06:00:00,
보령태양광,2025-11-12 06:30:00,
보령태양광,2025-11-12 07:00:00,
보령태양광,2025-11-12 07:30:00,
보령태양광,2025-11-12 08:00:00,
보령태양광,2025-11-12 08:30:00,
보령태양광,2025-11-12 09:00:00,
보령태양광,2025-11-12 09:30:00,
보령태양광,2025-11-12 10:00:00,
보령태양광,2025-11-12 10:30:00,
보령태양광,2025-11-12 11:00:00,
보령태양광,2025-11-12 11:30:00,
보령태양광,2025-11-12 12:00:00,
보령태양광,2025-11-12 12:30:00,
보령태양광,2025-11-12 13:00:00,
보령태양광,2025-11-12 13:30:00,
보령태양광,2025-11-12 14:00:00,
보령태양광,2025-11-12 14:30:00,
보령태양광,2025-11-12 15:00:00,
보령태양광,2025-11-12 15:30:00,
보령태양광,2025-11-12 16:00:00,
보령태양광,2025-11-12 16:30:00,
보령태양광,2025-11-12 17:00:00,
보령태양광,2025-11-12 17:30:00,
보령태양광,2025-11-12 18:00:00,
보령태양광,2025-11-12 18:30:00,
보령태양광,2025-11-12 19:00:00,
보령태양광,2025-11-12 19:30:00,
보령태양광,2025-11-12 20:00:00,
보령태양광,2025-11-12 20:30:00,
보령태양광,2025-11-12 21:00:00,
보령태양광,2025-11-12 21:30:00,
보령태양광,2025-11-12 22:00:00,
