지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
울산,2022.4.1,울산태양광#1,0.5,2.448672,8.2,,2.8,53.1,10.7,
울산,2022.4.2,울산태양광#1,0.5,2.601408,9.2,,2,59.3,11.3,
울산,2022.4.3,울산태양광#1,0.5,2.57208,10.4,,1.9,56.6,11.2,
울산,2022.4.4,울산태양광#1,0.5,2.573376,11.7,,1.8,63.4,11.8,
울산,2022.4.5,울산태양광#1,0.5,2.17536,14.3,,1.6,43.3,9.4,
울산,2022.4.6,울산태양광#1,0.5,2.43336,14.6,,2.1,35,11.2,
울산,2022.4.7,울산태양광#1,0.5,1.80144,15,0.6,1.8,41,8.2,
울산,2022.4.8,울산태양광#1,0.5,2.611008,13.6,,1.9,54.5,12,
울산,2022.4.9,울산태양광#1,0.5,2.500992,18.8,,2.2,38.9,11.7,
울산,2022.4.10,울산태양광#1,0.5,2.404464,18.7,,1.8,51,10.6,
울산,2022.4.11,울산태양광#1,0.5,1.967856,19.4,,2.3,70.8,11,
울산,2022.4.12,울산태양광#1,0.5,2.538768,19,,1.4,76.3,11.6,
울산,2022.4.13,울산태양광#1,0.5,0.339168,11.2,0.1,2.8,86.5,0,
울산,2022.4.14,울산태양광#1,0.5,0.253488,9.9,0.5,3.4,83.6,0,
울산,2022.4.15,울산태양광#1,0.5,2.414352,10.8,0,3.2,59.6,7.5,
울산,2022.4.16,울산태양광#1,0.5,2.718096,11.1,,2.3,54,12.1,
울산,2022.4.17,울산태양광#1,0.5,2.721888,14.5,,1.6,38.4,12.1,
울산,2022.4.18,울산태양광#1,0.5,2.144256,16.9,,1.7,24.9,10.4,
울산,2022.4.19,울산태양광#1,0.5,2.529648,16.8,,1.7,36.3,12.1,
울산,2022.4.20,울산태양광#1,0.5,2.582256,18.5,,2,25.4,12.2,
울산,2022.4.21,울산태양광#1,0.5,0.492432,14.2,2.2,1.3,67.8,0.8,
울산,2022.4.22,울산태양광#1,0.5,2.609568,18.1,,3,61.8,11.7,
울산,2022.4.23,울산태양광#1,0.5,1.747248,17.1,,2.1,61,6,
울산,2022.4.24,울산태양광#1,0.5,2.592816,18.1,,1.1,70.1,11.8,
