날짜,발전기명,설비용량(MW),발전량_예측(MWh),평균기온,평균습도,총강수량,총적설량,평균풍속,일조시간,일사량,평균운량,위도,경도
2026-05-27,당진태양광,2.7,1.3651326720000019,18.531,92.666664,2.1,0.0,3.2525272,0.0,0.014076,87.416664,37.05075,126.5103
2026-05-28,당진태양광,2.7,1.6067176320000014,16.033085,96.041664,0.0,0.0,5.1072736,7.6176033,0.064836,57.583332,37.05075,126.5103
2026-05-29,당진태양광,2.7,1.6906121280000008,15.581794,88.66601,0.0,0.0,3.8106577,9.22916,0.067788,32.583332,37.05075,126.5103
2026-05-30,당진태양광,2.7,1.67913888,19.467417,80.24503,0.0,0.0,3.4426262,13.4815,0.103032,0.0,37.05075,126.5103
2026-05-31,당진태양광,2.7,1.6984905599999993,20.102835,78.82364,0.0,0.0,2.5593693,12.408328,0.100655995,39.666668,37.05075,126.5103
2026-06-01,당진태양광,2.7,1.6148733120000012,20.096586,80.83055,0.0,0.0,1.3603622,12.458905,0.074591994,72.041664,37.05075,126.5103
2026-06-02,당진태양광,2.7,1.7289913919999982,21.506998,74.22646,0.0,0.0,3.2196608,11.73263,0.095796004,42.458332,37.05075,126.5103
2026-05-27,울산태양광#1,0.5,0.3068416320000003,18.689583,92.041664,1.0000001,0.0,5.250546,0.0,0.013572,83.666664,35.47765,129.3808
2026-05-28,울산태양광#1,0.5,0.391330848,19.70625,88.791664,0.0,0.0,3.2572021,2.088196,0.036395997,43.833332,35.47765,129.3808
2026-05-29,울산태양광#1,0.5,0.3911729279999999,18.48802,87.14554,0.0,0.0,2.7745907,12.372558,0.084348,14.427083,35.47765,129.3808
2026-05-30,울산태양광#1,0.5,0.38892047999999996,22.262499,63.416523,0.0,0.0,1.4450878,13.652538,0.104976,0.20833333,35.47765,129.3808
2026-05-31,울산태양광#1,0.5,0.3902185919999998,21.995834,69.83248,0.0,0.0,2.1240351,13.354552,0.103067994,27.083334,35.47765,129.3808
2026-06-01,울산태양광#1,0.5,0.3547414079999997,22.483335,67.92137,0.0,0.0,1.6936299,13.811286,0.095652,83.166664,35.47765,129.3808
2026-06-02,울산태양광#1,0.5,0.3874421759999999,22.050001,62.316654,0.0,0.0,1.6474246,14.257038,0.102384,28.291666,35.47765,129.3808
2026-05-27,동해바이오화력본부 태양광,2.0,0.8493551999999995,16.233,95.125,2.5,0.0,3.9448986,0.0,0.010008,84.083336,37.48313,129.1453
2026-05-28,동해바이오화력본부 태양광,2.0,1.1092751999999992,17.295502,95.875,0.1,0.0,1.8092659,2.4722927,0.0405,61.291668,37.48313,129.1453
2026-05-29,동해바이오화력본부 태양광,2.0,1.034859599999998,19.379229,79.32803,0.0,0.0,3.7018337,13.558891,0.09503999,4.7916665,37.48313,129.1453
2026-05-30,동해바이오화력본부 태양광,2.0,1.0662371999999989,22.804337,56.487686,0.1,0.0,4.0067997,13.929466,0.102239996,6.375,37.48313,129.1453
2026-05-31,동해바이오화력본부 태양광,2.0,1.0867823999999988,23.87725,60.91847,0.0,0.0,2.2973077,13.9292,0.103787996,37.625,37.48313,129.1453
2026-06-01,동해바이오화력본부 태양광,2.0,1.1092751999999986,24.291834,61.711426,0.0,0.0,1.674653,14.414693,0.086112,70.25,37.48313,129.1453
2026-06-02,동해바이오화력본부 태양광,2.0,1.0867823999999988,23.498085,59.12642,0.0,0.0,0.8602824,12.387515,0.098748,38.875,37.48313,129.1453
2026-05-27,보령태양광,3.135,1.4466269039999988,19.894415,91.875,2.1999998,0.0,1.8820076,0.0,0.016487999,88.25,36.40191596,126.4958751
2026-05-28,보령태양광,3.135,2.030710960000001,16.842333,95.291664,0.0,0.0,3.3480542,5.127734,0.044604,69.458336,36.40191596,126.4958751
2026-05-29,보령태양광,3.135,1.8013721679999999,15.900757,88.36713,0.0,0.0,1.6274022,9.218058,0.066635996,21.208334,36.40191596,126.4958751
2026-05-30,보령태양광,3.135,1.8098869759999994,18.861746,84.0135,0.0,0.0,2.7086499,13.280655,0.104148,4.125,36.40191596,126.4958751
2026-05-31,보령태양광,3.135,1.8343375439999996,19.676332,79.9219,0.0,0.0,1.5170484,12.908426,0.100512,40.291668,36.40191596,126.4958751
2026-06-01,보령태양광,3.135,2.5828529840000027,21.615915,74.01794,0.0,0.0,1.1309385,14.0109,0.075384,88.708336,36.40191596,126.4958751
2026-06-02,보령태양광,3.135,3.1778572480000022,22.684668,64.25071,0.0,0.0,2.5741515,13.08232,0.097955994,37.958332,36.40191596,126.4958751
