발전기명,변수,중요도,누적 중요도,R²,순위
경상대태양광,일조시간,0.611763529853206,0.611763529853206,0.8166,1
경상대태양광,일사량,0.21797656632561171,0.8297400961788177,0.8166,2
경상대태양광,평균습도,0.06743288837167916,0.8971729845504969,0.8166,3
경상대태양광,평균기온,0.05020377743064279,0.9473767619811396,0.8166,4
경상대태양광,평균풍속,0.022711741459943677,0.9700885034410833,0.8166,5
경상대태양광,평균운량,0.017204706753758237,0.9872932101948415,0.8166,6
경상대태양광,총강수량,0.012363981985860478,0.999657192180702,0.8166,7
경상대태양광,총적설량,0.00034280781929801624,1.0,0.8166,8
경상대태양광,설비용량(MW),0.0,1.0,0.8166,9
고흥만수상태양광,일조시간,0.5289050635290813,0.5289050635290813,0.7219,1
고흥만수상태양광,일사량,0.34305560146169445,0.8719606649907757,0.7219,2
고흥만수상태양광,평균기온,0.03572621217005502,0.9076868771608307,0.7219,3
고흥만수상태양광,평균습도,0.0300396240218265,0.9377265011826572,0.7219,4
고흥만수상태양광,평균풍속,0.026982801653311336,0.9647093028359686,0.7219,5
고흥만수상태양광,평균운량,0.019632437520447774,0.9843417403564163,0.7219,6
고흥만수상태양광,총강수량,0.015533432681792426,0.9998751730382087,0.7219,7
고흥만수상태양광,총적설량,0.00012482696179127076,1.0,0.7219,8
고흥만수상태양광,설비용량(MW),0.0,1.0,0.7219,9
광양항세방태양광,일사량,0.8096141653083962,0.8096141653083962,0.8216,1
광양항세방태양광,일조시간,0.0535952034782915,0.8632093687866877,0.8216,2
광양항세방태양광,평균기온,0.041302112619825554,0.9045114814065133,0.8216,3
광양항세방태양광,평균습도,0.026785040065733737,0.9312965214722471,0.8216,4
광양항세방태양광,총강수량,0.024802346756275656,0.9560988682285227,0.8216,5
광양항세방태양광,평균풍속,0.023830077852457384,0.9799289460809801,0.8216,6
광양항세방태양광,평균운량,0.019356532360067683,0.9992854784410479,0.8216,7
광양항세방태양광,총적설량,0.0007145215589521367,1.0,0.8216,8
광양항세방태양광,설비용량(MW),0.0,1.0,0.8216,9
구미태양광,일조시간,0.67857786435381,0.67857786435381,0.8474,1
구미태양광,일사량,0.1165797009482489,0.7951575653020588,0.8474,2
구미태양광,평균습도,0.06391524520761187,0.8590728105096707,0.8474,3
구미태양광,평균기온,0.044748232274960914,0.9038210427846316,0.8474,4
구미태양광,평균운량,0.035116330294859555,0.9389373730794912,0.8474,5
구미태양광,총강수량,0.03274244019933545,0.9716798132788267,0.8474,6
구미태양광,평균풍속,0.026587518396296958,0.9982673316751236,0.8474,7
구미태양광,총적설량,0.0017326683248764648,1.0,0.8474,8
구미태양광,설비용량(MW),0.0,1.0,0.8474,9
당진태양광,일사량,0.6623444597092301,0.6623444597092301,0.807,1
당진태양광,일조시간,0.17056023664856995,0.8329046963578,0.807,2
당진태양광,평균기온,0.04923655198353025,0.8821412483413302,0.807,3
당진태양광,평균습도,0.03502854940791172,0.9171697977492419,0.807,4
당진태양광,평균풍속,0.03220303516760339,0.9493728329168453,0.807,5
당진태양광,평균운량,0.026955638945575178,0.9763284718624204,0.807,6
당진태양광,총강수량,0.021488186433390573,0.997816658295811,0.807,7
당진태양광,총적설량,0.0021833417041887595,0.9999999999999998,0.807,8
당진태양광,설비용량(MW),0.0,0.9999999999999998,0.807,9
동해바이오화력본부태양광,일사량,0.7367363495502157,0.7367363495502157,0.7865,1
동해바이오화력본부태양광,일조시간,0.12204052590906696,0.8587768754592827,0.7865,2
동해바이오화력본부태양광,평균기온,0.041988132937682596,0.9007650083969653,0.7865,3
동해바이오화력본부태양광,평균습도,0.034665730522487136,0.9354307389194524,0.7865,4
동해바이오화력본부태양광,총강수량,0.019307914104081513,0.9547386530235339,0.7865,5
동해바이오화력본부태양광,평균풍속,0.018726135025404364,0.9734647880489382,0.7865,6
동해바이오화력본부태양광,평균운량,0.017498766235441422,0.9909635542843797,0.7865,7
동해바이오화력본부태양광,총적설량,0.009036445715620279,0.9999999999999999,0.7865,8
동해바이오화력본부태양광,설비용량(MW),0.0,0.9999999999999999,0.7865,9
보령태양광,일사량,0.5844539999524868,0.5844539999524868,0.8055,1
보령태양광,일조시간,0.2754392064110188,0.8598932063635056,0.8055,2
보령태양광,평균습도,0.0506951478058027,0.9105883541693083,0.8055,3
보령태양광,평균기온,0.02407899227714259,0.9346673464464509,0.8055,4
보령태양광,평균풍속,0.023834540634241265,0.9585018870806922,0.8055,5
보령태양광,총강수량,0.02122977043585973,0.9797316575165519,0.8055,6
보령태양광,평균운량,0.018889065353437953,0.9986207228699898,0.8055,7
보령태양광,총적설량,0.0011836357781410249,0.9998043586481309,0.8055,8
보령태양광,설비용량(MW),0.0001956413518690516,0.9999999999999999,0.8055,9
