구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,"3,509.14","3,197.74","5,378.98","5,670.49","6,656.14","6,722.21","4,180.46","5,454.31","4,772.03","4,343.28","3,688.94","3,799.51"
부산,"18,499.02","14,587.13","25,260.62","24,536.82","33,522.25","27,259.18","24,544.23","31,325.6","25,718.5","20,290.26","19,656.33","22,746.67"
대구,"26,388.79","20,886.93","37,830.33","38,198.19","51,838.29","46,929.07","39,016.59","47,726.8","37,680.19","32,024.58","30,638.51","34,311.68"
인천,"8,981.38","8,333.58","14,608.28","15,625.12","18,335.9","19,734.8","12,375.55","16,931.48","13,795.25","12,568.47","10,402.18","11,401.79"
광주,"18,528.84","18,614.31","32,352.51","32,540.77","44,142.28","36,778.05","29,939.4","40,162.03","32,986.54","27,585.95","24,610.59","21,923.76"
대전,"3,424.95","3,311.56","5,955.18","6,305.81","8,111.47","7,715.98","5,329.12","7,072.83","6,104.58","4,686.77","4,654.41","4,277.13"
울산,"9,154.12","6,814.09","13,105.6","12,928.7","17,621.76","15,158.35","13,884.16","16,803.28","12,288.96","10,033.48","9,989.48","12,182.87"
세종,"4,406.63","4,207.11","7,830.16","8,121.04","10,396.46","9,851.38","6,777.32","9,451.5","8,017.39","6,429.65","6,184.08","5,645.54"
경기,"106,585.17","100,112.41","185,606.73","199,152.49","238,659.78","247,094.64","160,177.87","218,613.86","180,557","157,946","135,637.64","135,941.28"
충북,"93,311.68","84,465.76","158,144.86","167,929.92","213,800.89","200,994.19","140,387.94","188,196.82","153,076.85","123,453.24","112,820.64","111,032.81"
충남,"224,566.03","222,833.51","401,582.01","410,377.71","502,656.46","503,155.19","345,937.42","449,963.51","377,525.71","310,423.55","295,235.25","254,995.6"
전남,"432,377.35","380,340.59","643,850.39","633,387.19","847,199.2","686,137.04","573,196.59","783,924.5","672,220.52","531,883.41","482,133.97","452,606.45"
경북,"272,286.93","208,232.16","386,609.5","396,113.23","521,202.1","471,339.09","367,355.67","465,118.86","358,848.01","294,771.59","281,216.53","317,766.41"
경남,"146,705.2","117,365.83","198,303.12","188,063.39","259,797.01","216,889.3","182,168.55","236,546.39","186,415.54","161,561.85","146,695.35","163,452.03"
제주,"38,746.98","32,141.8","61,512.53","56,961.42","80,395.16","53,142.13","55,219.85","70,264.31","58,100.05","45,580.24","43,078.92","39,542.47"
강원,"121,713.1","100,075.53","198,274.89","223,892.55","268,657.82","260,510.92","171,553.67","228,847.2","172,301.41","156,541.36","136,185.09","144,762.88"
전북,"323,572.65","310,102.84","522,660.16","522,821.51","669,689.46","591,563.44","453,668.4","598,878.97","504,779.37","404,102.36","366,825.24","310,952.43"
