발전기명,Base_R2,Base_RMSE,BE_R2,BE_RMSE,Tuned_R2,Tuned_RMSE,BE_최종특성수,BE_최종특성리스트
세종태양광,0.851875297,0.164381983,0.851875297,0.164381983,0.845175268,0.16805856,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
울산태양광#1,0.808218649,0.314239213,0.808218649,0.314239213,0.810328973,0.312505518,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
경상대태양광,0.816623481,0.529731142,0.816623481,0.529731142,0.822749506,0.520807667,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
구미태양광,0.847428966,0.540344455,0.847428966,0.540344455,0.855029846,0.526712898,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
제주태양광,0.827230644,0.677378798,0.835327474,0.661315673,0.825262664,0.681225815,6,평균기온; 평균습도; 총강수량; 일조시간; 일사량; 평균운량
제주대태양광,0.799692841,0.778097586,0.799692841,0.778097586,0.798205609,0.780980838,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
서울태양광,0.83350343,0.826953252,0.83350343,0.826953252,0.846524514,0.793958535,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
인천태양광,0.820708869,0.880556049,0.821530347,0.878536464,0.824581572,0.870994093,7,평균기온; 평균습도; 총강수량; 평균풍속; 일조시간; 일사량; 평균운량
여수엑스포태양광,0.913185422,1.093345941,0.915184918,1.080681731,0.907036909,1.131400966,6,평균기온; 평균습도; 총강수량; 평균풍속; 일조시간; 일사량
동해바이오화력본부태양광,0.786541722,1.16999833,0.797300499,1.140131857,0.786390886,1.170411635,5,평균기온; 평균습도; 총강수량; 일조시간; 일사량
인천아시아드태양광,0.716631354,1.374422312,0.729286941,1.343380074,0.729657756,1.342459695,8,설비용량(MW); 평균기온; 평균습도; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
예천태양광,0.735789145,1.545756682,0.737399316,1.541039357,0.750758773,1.501328555,8,평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
제주성읍리태양광,0.727981044,1.679036761,0.728180716,1.678420409,0.727241068,1.681318961,8,설비용량(MW); 평균기온; 평균습도; 총강수량; 평균풍속; 일조시간; 일사량; 평균운량
광양항세방태양광,0.821630071,1.757377664,0.82892784,1.721051837,0.829018097,1.720597771,8,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량
당진태양광,0.80695962,1.784848555,0.812029311,1.761255476,0.80206672,1.807326849,6,평균기온; 평균습도; 총강수량; 평균풍속; 일조시간; 일사량
보령태양광,0.805499686,2.05223477,0.805499686,2.05223477,0.809048789,2.033424708,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
서천태양광,0.848682595,2.219292921,0.848961105,2.217249603,0.851596899,2.197817735,8,설비용량(MW); 평균기온; 평균습도; 총강수량; 평균풍속; 일조시간; 일사량; 평균운량
신보령태양광,0.837125432,2.685578141,0.837125432,2.685578141,0.83732188,2.683958076,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
영흥태양광,0.704600951,4.587602823,0.706289139,4.574475106,0.700623032,4.618388445,8,평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
고흥만수상태양광,0.721884033,55.77172132,0.721884033,55.77172132,0.712760991,56.67908067,9,설비용량(MW); 평균기온; 평균습도; 총강수량; 총적설량; 평균풍속; 일조시간; 일사량; 평균운량
