발전기명,데이터수,R²,RMSE,MAPE(%),NRMSE(평균),절편,정확도 수준,설비용량(MW),평균기온,평균습도,총강수량,총적설량,평균풍속,일조시간,일사량,평균운량
경상대태양광,1046,0.8164,0.53,29.75,0.189,1.6916,👍 양호,0.0,-0.0323,-0.0118,0.0019,0.0909,-0.004,0.0,0.1583,-0.0019
고흥만수상태양광,484,0.6662,61.102,134.46,0.264,193.6139,⚖️ 보통,0.0,-1.0647,-1.2948,0.5746,23.7204,-3.1053,0.0028,7.6167,-0.1699
광양항세방태양광,1068,0.8337,1.6969,26.58,0.199,3.9271,👍 양호,0.0,-0.0353,-0.0351,-0.0097,0.6334,-0.0492,0.0,0.5858,-0.0008
구미태양광,1070,0.8116,0.6005,20.55,0.182,1.6841,👍 양호,0.0,-0.0448,-0.0064,0.007,-0.745,-0.0223,0.0,0.143,-0.0037
당진태양광,1165,0.7963,1.8334,2129.55,0.217,7.8208,⚖️ 보통,0.0,-0.0775,-0.0651,0.0035,-0.2156,-0.0729,0.0,0.4968,-0.0066
동해바이오화력본부태양광,1163,0.7777,1.1941,1083.8,0.232,1.6402,⚖️ 보통,0.0,-0.0312,-0.0101,-0.0057,-0.0208,-0.0021,0.0,0.3193,-0.0038
보령태양광,700,0.7806,2.1797,43.2,0.193,-10.2809,👍 양호,6.1136,-0.0134,-0.0777,0.012,-0.4699,-0.1027,0.0,0.5455,-0.0146
서울태양광,691,0.8092,0.8853,999.76,0.185,4.0322,👍 양호,0.0,-0.0353,-0.0294,0.0085,-0.0376,-0.0503,0.0,0.1985,-0.0073
서천태양광,698,0.858,2.1502,414.62,0.165,6.5553,👍 양호,0.0,-0.0927,-0.0517,0.0271,-1.9736,-0.1105,-0.0,0.8155,-0.0094
세종태양광,700,0.8483,0.1663,17.09,0.148,0.6873,👍 양호,0.0,-0.0049,-0.0067,0.001,-0.0343,-0.0054,0.0,0.059,-0.0004
신보령태양광,695,0.8132,2.8759,30.53,0.205,9.8225,⚖️ 보통,0.0,-0.0264,-0.0983,0.0147,-1.3694,-0.066,0.0001,0.654,-0.0125
여수엑스포태양광,694,0.8665,1.3559,54.95,0.174,7.5944,👍 양호,0.0,-0.0994,-0.0582,0.0125,-0.6561,-0.0641,0.0001,0.2899,-0.0074
영흥태양광,1087,0.6753,4.8097,35.21,0.261,20.5455,⚖️ 보통,0.0,-0.1454,-0.1918,0.0445,-0.3146,-0.1509,0.0001,0.9314,-0.0155
예천태양광,1008,0.7099,1.6197,51.11,0.251,5.8329,⚖️ 보통,0.0,-0.0936,-0.0419,0.0184,-0.6877,-0.0922,0.0001,0.2679,-0.0059
울산태양광#1,1157,0.7937,0.3259,614.26,0.19,0.7159,👍 양호,0.0,-0.014,-0.0044,0.0006,-0.1412,-0.0066,0.0,0.0916,-0.0012
인천아시아드태양광,235,0.613,1.6063,16.7,0.182,6.4115,👍 양호,0.3606,-0.0148,-0.0556,-0.0169,-1.0711,0.0227,0.0001,0.1345,-0.0103
인천태양광,678,0.8122,0.9012,131.25,0.214,2.8892,⚖️ 보통,0.0,-0.0275,-0.0216,0.0044,0.0076,-0.0443,-0.0,0.2768,-0.0057
제주대태양광,678,0.7337,0.8972,332.39,0.306,2.2853,⚠️ 부정확,0.0,-0.0322,-0.0146,0.0033,-0.3668,-0.0341,-0.0,0.2102,-0.0039
제주성읍리태양광,700,0.5931,2.0536,36.26,0.304,5.2542,⚠️ 부정확,0.0,-0.089,-0.0175,-0.0068,-1.8124,-0.0216,0.0001,0.2532,-0.0155
제주태양광,698,0.8469,0.6377,35.87,0.203,1.6824,⚖️ 보통,0.0,-0.0097,-0.0214,0.0026,-0.0336,-0.0226,-0.0,0.2658,-0.0008
