발전기명,데이터수,CV 평균 R²,테스트 R²,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
경상대태양광,1046,0.8452,0.8248,,sqrt,2,5,500
고흥만수상태양광,484,0.8001,0.7112,,sqrt,2,5,300
광양항세방태양광,1068,0.7974,0.8293,,sqrt,4,2,500
구미태양광,1070,0.7986,0.8516,,sqrt,2,5,500
당진태양광,1165,0.8035,0.7978,10.0,sqrt,4,2,300
동해바이오화력본부태양광,1163,0.8236,0.7939,20.0,sqrt,1,5,500
보령태양광,700,0.8381,0.8125,,sqrt,1,2,300
서울태양광,691,0.8638,0.8443,10.0,sqrt,2,2,100
서천태양광,698,0.859,0.85,20.0,sqrt,1,2,500
세종태양광,700,0.898,0.8416,10.0,sqrt,1,5,500
신보령태양광,695,0.8392,0.8334,10.0,sqrt,1,2,100
여수엑스포태양광,694,0.8515,0.9072,,sqrt,2,2,500
영흥태양광,1087,0.7479,0.6949,,sqrt,2,5,100
예천태양광,1008,0.7294,0.7553,20.0,sqrt,1,10,300
울산태양광#1,1157,0.8439,0.8146,,sqrt,2,2,100
인천아시아드태양광,235,0.7268,0.752,,sqrt,1,5,100
인천태양광,678,0.8254,0.8241,10.0,sqrt,2,5,300
제주대태양광,678,0.7748,0.8051,,sqrt,2,5,100
제주성읍리태양광,700,0.726,0.7299,20.0,sqrt,2,2,300
제주태양광,698,0.8588,0.827,,sqrt,1,5,300
