mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.062110344568888344,0.00465518040783479,0.007528622945149739,0.0025062002657502695,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6327906914187003,0.7431189695220516,0.7663267793712304,0.7140788134373275,0.05825501234792489,159
0.2696109612782796,0.011518642214414121,0.015330950419108072,0.003966296906279912,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6446030602361077,0.7453493642115749,0.7686536949988483,0.7195353731488435,0.053832527943612894,85
0.4425397713979085,0.012389177077289374,0.01743292808532715,0.0039056222429932536,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.6455165274905512,0.7515218114271134,0.7671214941977853,0.7213866110384833,0.05402493071915376,69
0.07756670316060384,0.012602510469150141,0.005126953125,0.001968402280662111,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.646952565860701,0.745526682884198,0.7880662871601616,0.7268485119683535,0.05910401078503657,1
0.268630584081014,0.013006569424854947,0.01497197151184082,0.005935865290720555,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6464778723232067,0.7474865387384007,0.7725666777521911,0.7221770296045995,0.05449786022143464,43
0.4378632704416911,0.023915182369054995,0.020104487737019856,0.00530436979837073,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.6466881936687582,0.748999895771238,0.7677419837971355,0.7211433577457106,0.05320084622877754,75
0.08486700057983398,0.007929091176541806,0.006613334019978841,0.0024769000485727203,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6334891534203154,0.742306380375737,0.7778811054489547,0.7178922130816691,0.061423652480985275,103
0.2456637223561605,0.009718720824603863,0.011517763137817383,0.0049616113894271445,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6375201443927339,0.7399566061651022,0.7719629345308312,0.7164798950295558,0.057341566827421905,139
0.4437750180562337,0.025447686201782865,0.01786963144938151,0.0023768685376397603,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.6418907044078228,0.7442350105601435,0.7704149620561178,0.7188468923413615,0.05545592009893667,89
0.09492174784342448,0.01767926720071644,0.005921840667724609,0.002554212729333529,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6428666540994272,0.7529476178404887,0.7810744736366168,0.7256295818588443,0.059638112326078324,11
0.2819163004557292,0.0074807564585999435,0.011102755864461264,0.0038987376567230867,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.652053525879067,0.7528754869051187,0.7719746089658854,0.7256345405833571,0.052610635233811376,7
0.4381114641825358,0.035246251383097456,0.029612382253011067,0.006303939638749755,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.6494371904182483,0.7549042372700567,0.7655209905048423,0.7232874727310491,0.052399599302363424,19
0.0978861649831136,0.0072155049732173,0.006012439727783203,0.001991401825476493,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6401984671310852,0.7452893429009355,0.7815357834056516,0.7223411978125575,0.059938981557203314,39
0.2570759455362956,0.004011043477812212,0.00866262118021647,0.0006850272480160495,,sqrt,2,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6502492070496388,0.7477077971748665,0.7683075125298281,0.7220881722514445,0.05148925298303223,53
0.4408981005350749,0.011763004579211025,0.014127333958943685,0.001181939585582358,,sqrt,2,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.65039912131421,0.7513019257575057,0.7676824443724183,0.7231278304813779,0.05185993444118015,23
0.08815852801005046,0.010694007264533414,0.004327456156412761,0.0015156277928804745,,sqrt,2,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6389157796357459,0.7436242477500845,0.7831540668719295,0.7218980314192533,0.06085607191424429,61
0.24802096684773764,0.009324471564583442,0.013746182123819986,0.0037970266370165387,,sqrt,2,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.6477070656802554,0.7435014828330304,0.7751075941848163,0.7221053808993673,0.05416683209786309,47
0.4450074036916097,0.020279091924794372,0.019852876663208008,0.0007682585813877307,,sqrt,2,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.650059183572007,0.745740195320604,0.7717690848632797,0.7225228212519635,0.05232978668703079,31
0.08538301785786946,0.0021839672583766905,0.004149993260701497,0.0013867345017744184,,sqrt,4,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6332350500673882,0.7347189305458572,0.7794792293299527,0.7158110699810661,0.06118262490499768,147
0.2555859883626302,0.0077469001078916706,0.011485576629638672,0.0020716024010622347,,sqrt,4,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6454278838537868,0.7373593343905861,0.7689459540861368,0.7172443907768365,0.052393616888059796,131
0.3952827453613281,0.026765566354008234,0.019610007603963215,0.004088345203384195,,sqrt,4,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.6488044365545644,0.7392871473148268,0.7651482825937893,0.7177466221543934,0.04987964378341236,107
0.08700935045878093,0.0036520685893808628,0.006537914276123047,0.002542855051531071,,sqrt,4,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6332350500673882,0.7347189305458572,0.7794792293299527,0.7158110699810661,0.06118262490499768,147
0.26076730092366535,0.020178747213626013,0.01072223981221517,0.004241987429836537,,sqrt,4,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6454278838537868,0.7373593343905861,0.7689459540861368,0.7172443907768365,0.052393616888059796,131
0.411361296971639,0.02207481110917422,0.020020723342895508,0.0013021302672647104,,sqrt,4,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",0.6488044365545644,0.7392871473148268,0.7651482825937893,0.7177466221543934,0.04987964378341236,107
0.08195773760477702,0.01356621374258952,0.006262063980102539,0.00210776890400117,,sqrt,4,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6436897243511837,0.7361371235020563,0.7797122746402265,0.7198463741644888,0.0567131667973049,79
0.23290332158406576,0.004197808419374969,0.012948751449584961,0.00453104937403038,,sqrt,4,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.6456245602995412,0.7356056018363996,0.7736267939929621,0.7182856520429676,0.05367264016400122,99
0.43094102541605633,0.022822964249492865,0.01434326171875,0.003208384234837075,,sqrt,4,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",0.6477103356463264,0.7358425804692994,0.7687848086119589,0.7174459082425283,0.05111154574549575,121
0.09775765736897786,0.009621308639280133,0.004747708638509114,0.0009708861486194117,,log2,1,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6327906914187003,0.7431189695220516,0.7663267793712304,0.7140788134373275,0.05825501234792489,159
0.2557369073232015,0.013387576933815523,0.013445456822713217,0.004889464334637864,,log2,1,2,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6446030602361077,0.7453493642115749,0.7686536949988483,0.7195353731488435,0.053832527943612894,85
0.4630553722381592,0.02425642704538986,0.021107276280721027,0.0010294682033032915,,log2,1,2,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.6455165274905512,0.7515218114271134,0.7671214941977853,0.7213866110384833,0.05402493071915376,69
0.08893394470214844,0.007875702344030561,0.003415346145629883,0.00015852379429390684,,log2,1,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.646952565860701,0.745526682884198,0.7880662871601616,0.7268485119683535,0.05910401078503657,1
0.257404088973999,0.011172631197676069,0.011659940083821615,0.003350355942543748,,log2,1,5,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6464778723232067,0.7474865387384007,0.7725666777521911,0.7221770296045995,0.05449786022143464,43
0.4490515391031901,0.004781646153698171,0.019299030303955078,0.004903310380637735,,log2,1,5,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.6466881936687582,0.748999895771238,0.7677419837971355,0.7211433577457106,0.05320084622877754,75
0.08454179763793945,0.005405103164266655,0.003360589345296224,0.00011517901508882327,,log2,1,10,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6334891534203154,0.742306380375737,0.7778811054489547,0.7178922130816691,0.061423652480985275,103
0.23525047302246094,0.0035080898764620976,0.014348506927490234,0.0018562973946736866,,log2,1,10,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6375201443927339,0.7399566061651022,0.7719629345308312,0.7164798950295558,0.057341566827421905,139
0.43305500348409015,0.03380544674906243,0.017130215962727863,0.0033003288560818646,,log2,1,10,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.6418907044078228,0.7442350105601435,0.7704149620561178,0.7188468923413615,0.05545592009893667,89
0.08667230606079102,0.008860146721490202,0.004127661387125651,0.0012132091506192393,,log2,2,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6428666540994272,0.7529476178404887,0.7810744736366168,0.7256295818588443,0.059638112326078324,11
0.26022036870320636,0.011157200095132429,0.011361122131347656,0.00419143776464863,,log2,2,2,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.652053525879067,0.7528754869051187,0.7719746089658854,0.7256345405833571,0.052610635233811376,7
0.4340067704518636,0.018926193619641235,0.018018325169881184,0.0030480064388131094,,log2,2,2,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.6494371904182483,0.7549042372700567,0.7655209905048423,0.7232874727310491,0.052399599302363424,19
0.09093475341796875,0.006714071203310085,0.0075836181640625,0.003932100869000312,,log2,2,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6401984671310852,0.7452893429009355,0.7815357834056516,0.7223411978125575,0.059938981557203314,39
0.26643967628479004,0.010172008809832937,0.01379100481669108,0.0016350287636231762,,log2,2,5,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6502492070496388,0.7477077971748665,0.7683075125298281,0.7220881722514445,0.05148925298303223,53
0.42982959747314453,0.017621997709840253,0.01799662907918294,0.0016399146281564432,,log2,2,5,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.65039912131421,0.7513019257575057,0.7676824443724183,0.7231278304813779,0.05185993444118015,23
0.08463517824808757,0.005819197360106802,0.003917694091796875,0.0005640240195964595,,log2,2,10,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6389157796357459,0.7436242477500845,0.7831540668719295,0.7218980314192533,0.06085607191424429,61
0.2431520620981852,0.024138358280304893,0.014401117960611979,0.0026984864947791672,,log2,2,10,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.6477070656802554,0.7435014828330304,0.7751075941848163,0.7221053808993673,0.05416683209786309,47
0.41254425048828125,0.02379303669312831,0.016800959904988606,0.003158968524658341,,log2,2,10,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.650059183572007,0.745740195320604,0.7717690848632797,0.7225228212519635,0.05232978668703079,31
0.07521375020345052,0.01365319042376747,0.004719893137613933,0.0017841312982857579,,log2,4,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6332350500673882,0.7347189305458572,0.7794792293299527,0.7158110699810661,0.06118262490499768,147
0.2923103968302409,0.062429933913488445,0.013084888458251953,0.003782445487949941,,log2,4,2,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6454278838537868,0.7373593343905861,0.7689459540861368,0.7172443907768365,0.052393616888059796,131
0.42300573984781903,0.0127275560127534,0.01862223943074544,0.002519657389459555,,log2,4,2,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.6488044365545644,0.7392871473148268,0.7651482825937893,0.7177466221543934,0.04987964378341236,107
0.08030096689860027,0.007848129815928875,0.0035094420115152993,0.0005182972175560371,,log2,4,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6332350500673882,0.7347189305458572,0.7794792293299527,0.7158110699810661,0.06118262490499768,147
0.2285615603129069,0.016320328860546712,0.013876120249430338,0.003420799892027863,,log2,4,5,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6454278838537868,0.7373593343905861,0.7689459540861368,0.7172443907768365,0.052393616888059796,131
0.40312933921813965,0.011447805558728078,0.018238147099812824,0.005144254869885177,,log2,4,5,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",0.6488044365545644,0.7392871473148268,0.7651482825937893,0.7177466221543934,0.04987964378341236,107
