발전기명,데이터 수,R²,RMSE,NRMSE(평균),NRMSE(범위),MAPE(%),정확도 수준
경상대태양광,1046,0.8166,0.5297,0.189,0.104,27.47,👍 양호
고흥만수상태양광,484,0.7219,55.7717,0.241,0.135,122.23,⚖️ 보통
광양항세방태양광,1068,0.8216,1.7574,0.206,0.104,24.82,⚖️ 보통
구미태양광,1070,0.8474,0.5403,0.164,0.101,15.99,👍 양호
당진태양광,1165,0.807,1.7848,0.211,0.112,2147.61,⚖️ 보통
동해바이오화력본부태양광,1163,0.7865,1.17,0.228,0.112,941.77,⚖️ 보통
보령태양광,700,0.8055,2.0522,0.182,0.099,35.98,👍 양호
서울태양광,691,0.8335,0.827,0.173,0.106,934.89,👍 양호
서천태양광,698,0.8487,2.2193,0.17,0.102,1084.94,👍 양호
세종태양광,700,0.8519,0.1644,0.147,0.094,14.71,👍 양호
신보령태양광,695,0.8371,2.6856,0.192,0.114,24.13,👍 양호
여수엑스포태양광,694,0.9132,1.0933,0.14,0.082,54.81,👍 양호
영흥태양광,1087,0.7046,4.5876,0.249,0.136,33.99,⚖️ 보통
예천태양광,1008,0.7358,1.5458,0.24,0.135,47.07,⚖️ 보통
울산태양광#1,1157,0.8082,0.3142,0.183,0.11,621.92,👍 양호
인천아시아드태양광,235,0.7166,1.3744,0.156,0.134,14.51,👍 양호
인천태양광,678,0.8207,0.8806,0.209,0.107,101.73,⚖️ 보통
제주대태양광,678,0.7997,0.7781,0.266,0.128,527.01,⚖️ 보통
제주성읍리태양광,700,0.728,1.679,0.249,0.13,28.12,⚖️ 보통
제주태양광,698,0.8272,0.6774,0.216,0.106,31.82,⚖️ 보통
