발전기명,날짜,일사량(MJ/m²),기온(°C),습도(%)
경상대태양광,2025-11-11 09:00:00,0.54864,8.1,44.7
경상대태양광,2025-11-11 12:00:00,4.6116,13.9,41.4
경상대태양광,2025-11-11 15:00:00,5.62248,15.4,42.8
경상대태양광,2025-11-11 18:00:00,1.35324,9.9,66.3
경상대태양광,2025-11-11 21:00:00,0.0,8.1,69.0
경상대태양광,2025-11-12 00:00:00,0.0,6.9,77.9
경상대태양광,2025-11-12 03:00:00,0.0,6.0,83.4
경상대태양광,2025-11-12 06:00:00,0.0,5.8,77.3
고흥만 수상태양광,2025-11-11 09:00:00,0.52704,8.2,47.7
고흥만 수상태양광,2025-11-11 12:00:00,5.27256,14.3,33.7
고흥만 수상태양광,2025-11-11 15:00:00,5.81256,15.9,38.2
고흥만 수상태양광,2025-11-11 18:00:00,1.4569200000000002,11.6,58.3
고흥만 수상태양광,2025-11-11 21:00:00,0.0,9.5,69.1
고흥만 수상태양광,2025-11-12 00:00:00,0.0,8.1,73.1
고흥만 수상태양광,2025-11-12 03:00:00,0.0,7.5,74.1
고흥만 수상태양광,2025-11-12 06:00:00,0.0,7.2,71.2
광양항세방태양광,2025-11-11 09:00:00,0.65988,8.3,43.5
광양항세방태양광,2025-11-11 12:00:00,4.86864,14.6,33.3
광양항세방태양광,2025-11-11 15:00:00,5.72292,16.2,36.1
광양항세방태양광,2025-11-11 18:00:00,1.3888800000000001,11.3,60.9
광양항세방태양광,2025-11-11 21:00:00,0.0,9.0,65.3
광양항세방태양광,2025-11-12 00:00:00,0.0,7.9,70.9
광양항세방태양광,2025-11-12 03:00:00,0.0,7.3,75.0
광양항세방태양광,2025-11-12 06:00:00,0.0,7.1,70.0
구미태양광,2025-11-11 09:00:00,0.70524,6.3,57.8
구미태양광,2025-11-11 12:00:00,5.073840000000001,11.9,47.7
구미태양광,2025-11-11 15:00:00,5.58144,13.8,45.5
구미태양광,2025-11-11 18:00:00,1.20096,10.6,61.6
구미태양광,2025-11-11 21:00:00,0.0,7.0,83.7
구미태양광,2025-11-12 00:00:00,0.0,5.1,93.4
구미태양광,2025-11-12 03:00:00,0.0,3.6,98.9
구미태양광,2025-11-12 06:00:00,0.0,2.7,99.6
당진태양광,2025-11-11 09:00:00,0.64152,8.8,73.7
당진태양광,2025-11-11 12:00:00,4.6288800000000005,11.3,62.8
당진태양광,2025-11-11 15:00:00,4.4766,13.2,67.3
당진태양광,2025-11-11 18:00:00,1.14804,13.4,72.8
당진태양광,2025-11-11 21:00:00,0.0,12.3,81.1
당진태양광,2025-11-12 00:00:00,0.0,10.6,92.2
당진태양광,2025-11-12 03:00:00,0.0,9.4,93.3
당진태양광,2025-11-12 06:00:00,0.0,8.9,94.5
동해바이오화력본부 태양광,2025-11-11 09:00:00,0.67932,9.0,40.7
동해바이오화력본부 태양광,2025-11-11 12:00:00,4.90104,12.9,36.3
동해바이오화력본부 태양광,2025-11-11 15:00:00,5.21316,12.5,47.0
