날짜,발전기명,평균기온,평균습도,총강수량,총적설량,평균풍속,일조시간,일사량,평균운량,날씨코드,위도,경도
2022-01-01 00:00:00+00:00,당진태양광 ,-0.25983343,65.325356,0.7,0.14,12.37334,31294.871,9.69,54.75,71.0,37.05075,126.5103
2022-01-02 00:00:00+00:00,당진태양광 ,0.25058326,65.16358,0.0,0.0,18.583076,31329.773,9.33,30.75,3.0,37.05075,126.5103
2022-01-03 00:00:00+00:00,당진태양광 ,1.3380833,71.769424,0.1,0.0,14.941308,31379.719,8.88,47.333332,51.0,37.05075,126.5103
2022-01-04 00:00:00+00:00,당진태양광 ,-1.3265,54.343597,0.0,0.0,20.154089,31385.438,10.45,50.458332,3.0,37.05075,126.5103
2022-01-05 00:00:00+00:00,당진태양광 ,0.56725,57.149868,0.0,0.0,17.204273,6689.392,6.14,69.958336,3.0,37.05075,126.5103
2022-01-06 00:00:00+00:00,당진태양광 ,0.7005834,60.217434,0.0,0.0,19.807833,31387.877,10.48,0.0,0.0,37.05075,126.5103
2022-01-07 00:00:00+00:00,당진태양광 ,0.65475005,67.14811,0.0,0.0,8.644238,31392.207,10.48,7.6666665,2.0,37.05075,126.5103
2022-01-08 00:00:00+00:00,당진태양광 ,3.9151666,75.62191,0.0,0.0,19.039268,27053.234,9.17,67.375,3.0,37.05075,126.5103
2022-01-09 00:00:00+00:00,당진태양광 ,1.9047499,74.46931,0.0,0.0,8.41117,30722.254,9.71,51.791668,3.0,37.05075,126.5103
2022-01-10 00:00:00+00:00,당진태양광 ,0.18808323,79.6652,2.1999998,0.98,20.187914,18796.637,6.35,74.0,73.0,37.05075,126.5103
2022-01-11 00:00:00+00:00,당진태양광 ,-4.522333,74.561,0.0,0.0,32.2544,31429.941,10.16,56.083332,3.0,37.05075,126.5103
2022-01-12 00:00:00+00:00,당진태양광 ,-3.218167,64.641365,0.70000005,0.49,21.951124,25339.873,8.82,87.5,73.0,37.05075,126.5103
2022-01-13 00:00:00+00:00,당진태양광 ,-2.964,64.50489,0.0,0.0,35.027157,31460.875,10.88,24.625,3.0,37.05075,126.5103
2022-01-14 00:00:00+00:00,당진태양광 ,-1.6035835,56.80339,0.0,0.0,11.8085785,31521.088,11.2,68.875,3.0,37.05075,126.5103
